feature,mean_abs_shap,category
Age,0.7509161,clinical/demographic
GenHlth,0.46349847,clinical/demographic
HighBP,0.3717957,clinical/demographic
Sex,0.36803633,clinical/demographic
HighChol,0.32322925,clinical/demographic
Smoker,0.18133093,lifestyle
Stroke,0.14185509,clinical/demographic
DiffWalk,0.13456391,clinical/demographic
Diabetes,0.114819236,clinical/demographic
Income,0.11260281,clinical/demographic
PhysHlth,0.07688555,clinical/demographic
BMI,0.057949666,lifestyle
Education,0.05296317,clinical/demographic
NoDocbcCost,0.040233858,clinical/demographic
CholCheck,0.037477158,clinical/demographic
MentHlth,0.034151196,clinical/demographic
HvyAlcoholConsump,0.025518592,lifestyle
PhysActivity,0.017620428,lifestyle
Veggies,0.014638048,lifestyle
Fruits,0.010038884,lifestyle
AnyHealthcare,0.006052174,clinical/demographic
