feature,mean_abs_shap
cp_asymptomatic,0.64907455
oldpeak,0.39474764
sex,0.3260459
chol,0.31199753
exang,0.29573402
thalach,0.28804561
thal_normal,0.2376981
age,0.21937498
cp_atypical angina,0.21501511
ca,0.19206278
slope_upsloping,0.05966643
restecg_lv hypertrophy,0.055735353
slope_flat,0.054697786
fbs,0.04768443
trestbps,0.044582892
cp_non-anginal,0.028177863
restecg_st-t abnormality,0.01913238
thal_reversable defect,0.016033292
restecg_normal,0.0062123006
cp_typical angina,0.0029158022
slope_downsloping,0.0008655758
thal_fixed defect,0.0
